link,card,player,grade,current_price,card_number
https://app.alt.xyz/browse/external-listing?id=e8912e09-39a5-41bb-94e2-3d910e810cf3&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2006 Pokemon Ex Dragon Frontiers Gold Star Holo,Charizard ,PSA 10,$255,100
https://app.alt.xyz/browse/external-listing?id=62962193-1f29-4977-ad03-029f098189b3&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2004 Panini Mega Cracks,Lionel Messi ,PSA 9,"$60,000",71BIS
https://app.alt.xyz/browse/external-listing?id=1428228c-4aed-42db-a382-3fcc086cb9cb&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2017 Panini Prizm White Sparkle Prizm,Patrick Mahomes II ,BGS 9.5,"$3,078",269
https://app.alt.xyz/browse/external-listing?id=a70ec1f4-08e1-4123-82fa-085257d37087&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1952 Topps,Jackie Robinson ,PSA 5,"$13,508",312
https://app.alt.xyz/browse/external-listing?id=c8dee9ba-60f4-451a-a7eb-b96df2226359&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2016 Panini Select '17 Rookie Prizms Gold,Patrick Mahomes II ,BGS 8,"$9,300",2
https://app.alt.xyz/browse/external-listing?id=147046ae-ce0c-41eb-bd70-7663e9374f52&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2018 Bowman Chrome Rookie Autograph Green Refractor,Shohei Ohtani ,BGS 9.5 Auto 9,"$10,100",CRASO
https://app.alt.xyz/browse/external-listing?id=0f7ec346-6711-4a98-918b-36511dc27dae&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1967 Topps,Bill Denehy/Tom Seaver ,PSA 9,"$5,600",581
https://app.alt.xyz/browse/external-listing?id=b1a4d777-3268-4d27-81f2-91d45831db64&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1999 Pokemon Base Set 1st Edition Holo,Charizard ,PSA 9,"$18,000",4
https://app.alt.xyz/browse/external-listing?id=851c19a9-06ef-4253-a505-2ef03cf9e49c&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1986 Fleer,Michael Jordan ,PSA 9,"$6,300",57
https://app.alt.xyz/browse/external-listing?id=e6af6fd5-fc37-4f43-947a-02e804d12858&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1986 Fleer,Michael Jordan ,PSA 9,"$15,500",57
https://app.alt.xyz/browse/external-listing?id=f8a7119c-8875-4df6-8b5a-f26b6b954b35&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1986 Fleer,Michael Jordan ,PSA 9,"$16,400",57
https://app.alt.xyz/browse/external-listing?id=32000c32-85fe-4be1-9a88-32ba2476f9a5&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1999 Pokemon Base Set 1st Edition Holo,Charizard ,PSA 9,$158,4
https://app.alt.xyz/browse/external-listing?id=8d79b152-4c33-4bb7-b2eb-1ce0767594b4&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2020 Metazoo Cryptid Nation Sample Set,Mothman R ,PSA 9,$10,65
https://app.alt.xyz/browse/external-listing?id=edd44114-b98f-463b-a2bb-06476e60311f&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1980 Topps Scoring Leader,Larry Bird/Julius Erving/Magic Johnson ,PSA 9,"$17,000",6
https://app.alt.xyz/browse/external-listing?id=54f42d55-0501-404e-9127-57415d3efde4&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1980 Topps Scoring Leader,Larry Bird/Julius Erving/Magic Johnson ,PSA 9,"$17,939",6
https://app.alt.xyz/browse/external-listing?id=c3f6501d-900e-478f-be88-fd7ae3b4ba7b&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2020 Topps Formula 1 Dynasty Autographed Patch Red,Max Verstappen ,PSA 9 Auto 10,"$10,400",IIMV
https://app.alt.xyz/browse/external-listing?id=7c8b8957-2a2b-485c-9103-a9eb696668f1&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2017 Bowman Chrome Prospect Autograph Gold Refractor,Ronald Acuna Jr. ,BGS 9.5 Auto 10,"$10,500",CPARA
https://app.alt.xyz/browse/external-listing?id=392da69c-ea37-4f26-9c43-968ac587527d&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2005 Ultimate Collection All-Stars Signatures,Michael Jordan ,BGS 9.5 Auto 10,"$10,300",ASMJ
https://app.alt.xyz/browse/external-listing?id=77028a29-8f12-4ef2-827d-559a0eb413c7&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2019 Bowman Chrome Draft Autographs Red Refractor,Adley Rutschman ,BGS 9.5 Auto 10,"$11,000",CDAAR
https://app.alt.xyz/browse/external-listing?id=d0743173-d7f0-477b-ba0a-96c491824893&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1993 Magic the Gathering Alpha,Timetwister R :B: ,BGS 8.5,$8,84
https://app.alt.xyz/browse/external-listing?id=d71bdcf2-5e4b-400f-bb99-278e18a7b3c4&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2022 Panini Donruss Optic Downtown Black Pandora,Brock Purdy ,PSA 10,"$5,600",DTBP
https://app.alt.xyz/browse/external-listing?id=37e9d258-05e4-4d81-8aff-3c59f6b9b143&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1999 Pokemon Base Set 1st Edition Holo,Venusaur ,PSA 10,$46,15
https://app.alt.xyz/browse/external-listing?id=881412e8-8fa8-4a26-b004-2f42ce21493f&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2007 Ultimate Collection Commitment Patches,LeBron James ,BGS 8.5 Auto 10,"$6,188",LJ
https://app.alt.xyz/browse/external-listing?id=352fa4f7-d76e-4f98-9b84-9e88208cc822&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1993 Magic the Gathering Unlimited,Mox Jet ,BGS 9.5,$7,263
https://app.alt.xyz/browse/external-listing?id=c6252a50-8491-4abc-a92e-dbe16d8c397b&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2018 Bowman Chrome Rookie Autograph Green Refractor,Shohei Ohtani ,PSA 9,"$7,500",BCRASO
https://app.alt.xyz/browse/external-listing?id=43af3ea3-3117-4500-b361-5509df125aae&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2004 Exquisite Collection Patch Autograph,Kobe Bryant ,BGS 9 Auto 10,"$6,600",KB
https://app.alt.xyz/browse/external-listing?id=3cdf373b-0959-4350-abb3-646243733233&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2020 National Treasures Rookie Patch Autograph Holo Gold,Tua Tagovailoa ,BGS 9.5 Auto 9,"$10,600",157
https://app.alt.xyz/browse/external-listing?id=52a3fbbe-afcc-445d-b6b9-6d987387e4f5&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2020 National Treasures Rookie Patch Autograph Gold Fotl,Anthony Edwards ,BGS 8.5 Auto 10,"$16,223",111
https://app.alt.xyz/browse/external-listing?id=ed05518e-4995-44e3-911b-8cfb739b1111&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2019 Panini Fortnite Crystal Shard,Black Knight ,PSA 9,$510,252
https://app.alt.xyz/browse/external-listing?id=f1d85895-f607-4c04-be53-affc9bae3d6e&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1993 Magic the Gathering Beta,Time Walk R B ,BGS 9,$3,84
https://app.alt.xyz/browse/external-listing?id=8fda394a-585f-4909-9845-d1bedd9043ec&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1999 Pokemon Base Set 1st Edition Holo,Charizard ,BGS 9,$7,4
https://app.alt.xyz/browse/external-listing?id=d660c2a5-da57-47c5-a2da-589931e6134a&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2019 Flesh and Blood Welcome To Rathe Alpha,Heart of Fyendal ,BGS 9.5,$9,WTR000
https://app.alt.xyz/browse/external-listing?id=3c44313e-7f3b-4dee-8e4d-aad6ac6b0e77&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2002 Pokemon Legendary Collection Reverse Holo,Charizard ,PSA 10,$21,3
https://app.alt.xyz/browse/external-listing?id=e5abb37a-6e8f-48df-8a59-145ec52e80f6&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2003 Topps Chrome Xfractor,LeBron James ,PSA Authentic,"$22,750",111
https://app.alt.xyz/browse/external-listing?id=cdbe6c9d-e4d1-43a1-99b6-3278e063bdb7&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2002 Pokemon Mysterious Mountains Unlimited Japanese,Charizard Holo R ,PSA 10,"$9,100",89
https://app.alt.xyz/browse/external-listing?id=dd4c46a7-fb9f-404f-8a4b-66da45a6929c&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1948 Leaf,Jackie Robinson ,PSA 3.5,"$13,999",79
https://app.alt.xyz/browse/external-listing?id=278e498d-b806-44a0-ac5c-5007d88a1009&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2000 SP Authentic,Tom Brady ,PSA 9,"$7,600",118
https://app.alt.xyz/browse/external-listing?id=9f3e4c25-4d89-40e3-9805-0ee2e7393ee7&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2020 Panini Contenders Autograph-Cracked Ice,Lamelo Ball ,PSA 10,"$9,000",125
https://app.alt.xyz/browse/external-listing?id=c31afbb8-7d2f-43f5-bb07-e09446cadbbf&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1909 T206 Piedmont,Ty Cobb/Portrait Green ,PSA 3,"$12,500",97
